iter	Passed	Remaining
649	7026	3783
650	7038	3773
651	7053	3764
652	7064	3754
653	7074	3742
654	7083	3731
655	7093	3719
656	7106	3709
657	7115	3698
658	7124	3686
659	7133	3674
660	7141	3662
661	7150	3650
662	7158	3638
663	7167	3626
664	7175	3614
665	7184	3603
666	7192	3591
667	7201	3579
668	7209	3567
669	7219	3555
670	7227	3543
671	7237	3532
672	7247	3521
673	7260	3511
674	7277	3504
675	7288	3493
676	7300	3483
677	7320	3476
678	7340	3470
679	7352	3459
680	7362	3448
681	7373	3438
682	7384	3427
683	7395	3416
684	7405	3405
685	7418	3395
686	7430	3385
687	7442	3375
688	7453	3364
689	7467	3354
690	7476	3343
691	7486	3332
692	7495	3320
693	7503	3308
694	7512	3297
695	7520	3284
696	7529	3273
697	7538	3261
698	7547	3250
699	7556	3238
700	7564	3226
701	7572	3214
702	7581	3203
703	7590	3191
704	7598	3179
705	7608	3168
706	7615	3155
707	7624	3144
708	7634	3133
709	7646	3123
710	7659	3113
711	7675	3104
712	7689	3095
713	7705	3086
714	7722	3078
715	7738	3069
716	7752	3060
717	7762	3048
718	7771	3037
719	7780	3025
720	7788	3013
721	7797	3002
722	7805	2990
723	7814	2978
724	7823	2967
725	7830	2955
726	7838	2943
727	7846	2931
728	7854	2919
729	7863	2908
730	7871	2896
731	7878	2884
732	7886	2872
733	7894	2861
734	7902	2849
735	7909	2837
736	7918	2825
737	7925	2813
738	7932	2801
739	7941	2790
740	7950	2778
741	7958	2767
742	7966	2755
743	7975	2744
744	7983	2732
745	7991	2721
746	7999	2709
747	8007	2697
748	8014	2685
749	8022	2674
750	8031	2662
751	8039	2651
752	8048	2639
753	8055	2628
754	8063	2616
755	8071	2604
756	8090	2596
757	8109	2589
758	8124	2579
759	8142	2571
760	8157	2561
761	8169	2551
762	8180	2540
763	8192	2530
764	8243	2532
765	8256	2522
766	8272	2513
767	8286	2503
768	8301	2493
769	8310	2482
770	8321	2471
771	8332	2460
772	8344	2450
773	8357	2440
774	8369	2429
775	8381	2419
776	8392	2408
777	8404	2398
778	8415	2387
779	8423	2375
780	8433	2364
781	8441	2353
782	8450	2341
783	8458	2330
784	8466	2318
785	8475	2307
786	8483	2296
787	8491	2284
788	8501	2273
789	8509	2261
790	8517	2250
791	8525	2238
792	8532	2227
793	8541	2216
794	8553	2205
795	8568	2195
796	8581	2185
797	8594	2175
798	8608	2165
799	8617	2154
800	8625	2142
801	8633	2131
802	8641	2120
803	8650	2108
804	8658	2097
805	8666	2085
806	8674	2074
807	8682	2063
808	8691	2051
809	8699	2040
810	8707	2029
811	8717	2018
812	8728	2007
813	8736	1996
814	8745	1985
815	8754	1974
816	8762	1962
817	8770	1951
818	8779	1940
819	8788	1929
820	8804	1919
821	8819	1909
822	8831	1899
823	8841	1888
824	8850	1877
825	8860	1866
826	8870	1855
827	8883	1845
828	8891	1834
829	8902	1823
830	8911	1812
831	8920	1801
832	8930	1790
833	8938	1779
834	8947	1768
835	8956	1756
836	8967	1746
837	8981	1736
838	8996	1726
839	9011	1716
840	9020	1705
841	9033	1695
842	9045	1684
843	9056	1674
844	9067	1663
845	9076	1652
846	9087	1641
847	9098	1630
848	9111	1620
849	9124	1610
850	9135	1599
851	9150	1589
852	9161	1578
853	9171	1568
854	9182	1557
855	9194	1546
856	9203	1535
857	9212	1524
858	9221	1513
859	9230	1502
860	9240	1491
861	9249	1480
862	9260	1470
863	9268	1458
864	9279	1448
865	9290	1437
866	9301	1426
867	9311	1416
868	9323	1405
869	9333	1394
870	9345	1384
871	9357	1373
872	9366	1362
873	9379	1352
874	9390	1341
875	9404	1331
876	9432	1322
877	9447	1312
878	9470	1303
879	9480	1292
880	9489	1281
881	9497	1270
882	9505	1259
883	9513	1248
884	9521	1237
885	9529	1226
886	9538	1215
887	9546	1204
888	9553	1192
889	9561	1181
890	9569	1170
891	9578	1159
892	9585	1148
893	9594	1137
894	9602	1126
895	9609	1115
896	9617	1104
897	9625	1093
898	9633	1082
899	9641	1071
900	9649	1060
901	9658	1049
902	9666	1038
903	9676	1027
904	9683	1016
905	9691	1005
906	9700	994
907	9708	983
908	9717	972
909	9725	961
910	9734	951
911	9744	940
912	9753	929
913	9763	918
914	9772	907
915	9781	897
916	9791	886
917	9809	876
918	9824	865
919	9837	855
920	9856	845
921	9866	834
922	9875	823
923	9886	813
924	9895	802
925	9904	791
926	9914	780
927	9924	769
928	9933	759
929	9943	748
930	9953	737
931	9961	726
932	9969	715
933	9977	705
934	9986	694
935	9994	683
936	10002	672
937	10009	661
938	10016	650
939	10024	639
940	10032	629
941	10040	618
942	10050	607
943	10061	596
944	10069	586
945	10075	575
946	10083	564
947	10092	553
948	10101	542
949	10107	531
950	10114	521
951	10120	510
952	10125	499
953	10130	488
954	10134	477
955	10139	466
956	10145	455
957	10150	445
958	10155	434
959	10161	423
960	10166	412
961	10172	401
962	10177	391
963	10182	380
964	10188	369
965	10191	358
967	10210	337
968	10216	326
969	10221	316
970	10227	305
971	10232	294
972	10237	284
973	10242	273
974	10248	262
975	10254	252
976	10259	241
977	10286	231
978	10293	220
979	10298	210
980	10303	199
981	10310	188
982	10315	178
983	10319	167
984	10324	157
985	10328	146
986	10332	136
987	10337	125
988	10341	115
989	10346	104
990	10350	94
991	10355	83
992	10359	73
993	10364	62
994	10369	52
995	10373	41
996	10376	31
997	10380	20
998	10383	10
999	10387	0
0
999	10358	0
